text,category,severity
Stretcher and wheelchair wheels broken at entrance of government clinic in Saraikela.,Healthcare,MEDIUM
Labor room in maternal care clinic Deoghar has no running water or sterile equipment.,Healthcare,HIGH
Deforestation and unmonitored hill cutting leading to soil erosion onto roads during monsoons in Chatra.,Environment,MEDIUM
Potholes at bus terminal depot damaging public vehicle axles and stalling departures in Chatra.,Transportation,MEDIUM
"Distribution transformer caught fire and exploded, fire spreading toward adjacent residential huts in Pakur.",Energy,CRITICAL
Child immunization camp date postponed twice without notifying parents in Simdega.,Healthcare,MEDIUM
Mosquito breeding epidemic in Chatra due to stagnant black sewage water in uncleaned open drains.,Sanitation,HIGH
Display board showing doctor consultation timings missing outside health clinic Dhanbad.,Healthcare,LOW
"Government ambulance dial 108 helpline not answering, pregnant patient died en route in Jamtara.",Healthcare,CRITICAL
"Main feeder water line ruptured by telecom JCB digging along GT Road, continuous massive water wastage.",Water Management,HIGH
Construction and demolition debris dumped openly on dry riverbed near Hospital Road.,Environment,MEDIUM
Pack of aggressive rabid stray dogs attacked and mauled multiple senior citizens and children in Saraikela.,Public Safety,HIGH
"Open deep stone quarry pit filled with 40 feet of stagnant water without fencing, child drowned yesterday in Jamshedpur.",Public Safety,CRITICAL
Armed gang carrying out chain snatching and robberies on dark bypass stretch of Circular Road after 8 PM.,Public Safety,CRITICAL
Government high school in Khunti has no math or science teacher for the entire academic year.,Education,HIGH
Primary Health Centre in Dhanbad has no medical doctor present for the past 14 days.,Healthcare,HIGH
Bio-medical hazardous waste including infected needles and bandages dumped in open field behind hospital Dhanbad.,Healthcare,HIGH
Underground pipe leak causing clean drinking water to pool on the street near GT Road.,Water Management,MEDIUM
"Community water tap handle rusted and broken, water dripping continuously in Simdega.",Water Management,MEDIUM
Crater-sized deep pothole on fast lane of Station Road caused three consecutive car rollover accidents last night.,Urban Infrastructure,CRITICAL
"Ceiling plaster fell on elementary students during classes, three children injured in school at Chaibasa.",Education,CRITICAL
Market vegetable vendors dumping rotten produce directly into open stormwater drains in Garhwa.,Sanitation,MEDIUM
"Government grain mandi delaying procurement, farmers' harvested grain soaked in rain in open yard at West Singhbhum.",Agriculture,HIGH
"Underground electrical cable burnt, whole commercial market in total darkness for 1 days in Jamtara.",Energy,HIGH
Transformer overloaded and tripping every 20 minutes across 400 households in ward 11 of Godda.,Energy,HIGH
Open uncovered manhole on unlit road of Airport Road resulted in motorcycle rider falling in and suffering critical head injury.,Urban Infrastructure,CRITICAL
"No electricity connection in rural school Lohardaga, children sitting in dark classrooms in 43°C summer.",Education,HIGH
Staff at government health sub-centre in Chatra demanding illicit money for issuing vaccination certificates.,Healthcare,MEDIUM
"Cold storage plant cooling gas leaked, ruining entire stored potato and tomato harvest in Godda.",Agriculture,CRITICAL
Certified seeds provided at block development office had less than 20% germination rate in Jamshedpur.,Agriculture,MEDIUM
"Commercial private trucks parking illegally on both lanes of narrow highway Station Road, causing daily fatal crashes.",Transportation,HIGH
Loud music played after 10 PM during local marriage celebrations in sector 18 of Khunti.,Public Safety,LOW
"Highway flyover expansion joint widened by 6 inches, vibrating violently under vehicular movement in Palamu.",Urban Infrastructure,CRITICAL
Old transport truck emitting black smoke exhaust while idling at traffic stop in Garhwa.,Environment,LOW
"Commercial electricity meter running abnormally fast, inflated bill of Rs 50,000 sent to small shop in Koderma.",Energy,MEDIUM
Agricultural extension officer not available on scheduled field visit day in Bokaro.,Agriculture,LOW
CCTV cameras installed at main market intersection non-functional for past 6 months in Jamshedpur.,Public Safety,MEDIUM
Divider break on fast expressway in Pakur causing tractors and two-wheelers to drive on wrong side.,Urban Infrastructure,HIGH
Leakage in water meter junction wasting thousands of liters daily outside house in Lohardaga.,Water Management,MEDIUM
"Distribution transformer caught fire and exploded, fire spreading toward adjacent residential huts in Gumla.",Energy,CRITICAL
"School bell system broken, manual gong being used in school Ramgarh.",Education,LOW
Divider break on fast expressway in Simdega causing tractors and two-wheelers to drive on wrong side.,Urban Infrastructure,HIGH
Illegal commercial timber logging and cutting of ancient Sal trees in protected forest zone of Pakur.,Environment,HIGH
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Simdega.,Agriculture,CRITICAL
Crater-sized deep pothole on fast lane of Airport Road caused three consecutive car rollover accidents last night.,Urban Infrastructure,CRITICAL
Herd of wild boars and elephants destroying standing sugarcane crops nightly in farm belt Gumla.,Agriculture,HIGH
OPD registration counter has only one operator for over 400 patients daily in Chatra.,Healthcare,MEDIUM
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Bokaro.",Agriculture,CRITICAL
"Water supply in Jamtara restricted to only 15 minutes once in 3 days, causing violent disputes at community taps.",Water Management,HIGH
Old multi-story commercial market balcony collapsed onto busy pedestrian footpath in Godda.,Urban Infrastructure,CRITICAL
Cholera and severe gastroenteritis outbreak reported due to sewage mixing in drinking water pipelines in Chaibasa.,Water Management,CRITICAL
Street vegetable market causing minor pedestrian bottleneck on evening sidewalks in Chaibasa.,Public Safety,LOW
Water filter unit at municipal dispensary in Ranchi requires urgent membrane replacement.,Water Management,MEDIUM
"Sinkhole formed suddenly in the middle of intersection near Gumla, engulfing front of a delivery truck.",Urban Infrastructure,CRITICAL
Request for tree plantation drive along newly expanded 4-lane avenue in Jamshedpur.,Environment,LOW
CCTV cameras installed at main market intersection non-functional for past 6 months in Hazaribagh.,Public Safety,MEDIUM
Deforestation and unmonitored hill cutting leading to soil erosion onto roads during monsoons in Ranchi.,Environment,MEDIUM
Clean drinking water dispenser not working in hospital OPD waiting lounge in Jamtara.,Healthcare,LOW
Gang of anti-social youth eve-teasing and harassing female students daily outside coaching hub in Garhwa.,Public Safety,HIGH
Armed gang carrying out chain snatching and robberies on dark bypass stretch of Hospital Road after 8 PM.,Public Safety,CRITICAL
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near Bokaro.,Environment,CRITICAL
"Toxic chemical industrial waste dumped near community playground, emitting noxious fumes in Koderma.",Sanitation,CRITICAL
"Road excavated for sewage pipeline 4 months ago left unpaved, mud and dust causing daily skidding in West Singhbhum.",Urban Infrastructure,HIGH
Extreme overcrowding in city buses with passengers hanging precariously from footboards and window grills in Chaibasa.,Transportation,HIGH
Organized cyber fraud gang duping illiterate rural elders of their pension funds under fake scheme in Gumla.,Public Safety,MEDIUM
Primary school and anganwadi center in Garhwa has non-functional water taps for 30 days.,Water Management,HIGH
Pack of aggressive rabid stray dogs attacked and mauled multiple senior citizens and children in Giridih.,Public Safety,HIGH
Request for additional bus stop shelter along newly developed residential sector in Palamu.,Transportation,LOW
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Khunti.,Agriculture,CRITICAL
Primary school and anganwadi center in Sahebganj has non-functional water taps for 5 days.,Water Management,HIGH
School computer lab equipment locked in boxes for 2 years without power connection in Hazaribagh.,Education,MEDIUM
"Massive landslide and retaining wall collapse blocked state highway Airport Road, trapping vehicles under debris.",Urban Infrastructure,CRITICAL
"Major highway bridge over river has developed structural cracks, concrete chunks falling into river near Dumka.",Urban Infrastructure,CRITICAL
Dense poisonous smoke from open garbage burning at municipal dumping ground suffocating Simdega.,Environment,HIGH
Staff at government health sub-centre in Ramgarh demanding illicit money for issuing vaccination certificates.,Healthcare,MEDIUM
"No electricity connection in rural school Jamtara, children sitting in dark classrooms in 43°C summer.",Education,HIGH
Drinking water supply poisoned due to pesticide tank leakage near local water pump house.,Water Management,CRITICAL
Loud music played after 10 PM during local marriage celebrations in sector 14 of Deoghar.,Public Safety,LOW
Slight brownish discoloration noticed in morning tap water for past two days in Saraikela.,Water Management,LOW
Staff at government health sub-centre in Dhanbad demanding illicit money for issuing vaccination certificates.,Healthcare,MEDIUM
Surgeon and anesthesiologist absent during critical trauma patient admission at civil hospital Jamtara.,Healthcare,CRITICAL
"Mid-day meal served to schoolchildren contained dead lizard and worms, 20 pupils hospitalized in West Singhbhum.",Education,CRITICAL
"Commercial electricity meter running abnormally fast, inflated bill of Rs 50,000 sent to small shop in Bokaro.",Energy,MEDIUM
"Hailstorm and gale winds flattened standing crops across village Ranchi, farmers facing total bankruptcy.",Agriculture,CRITICAL
Dangerous blind hairpin curve on ghat road Gumla has broken safety crash barriers and zero reflectors.,Transportation,HIGH
Deforestation and unmonitored hill cutting leading to soil erosion onto roads during monsoons in Chaibasa.,Environment,MEDIUM
Subsidized fertilizer (Urea and DAP) completely black-marketed and unavailable at government cooperative in Ramgarh.,Agriculture,HIGH
Agricultural irrigation feeder canal dry for 14 weeks during critical sowing season in Dhanbad.,Agriculture,HIGH
"Hazardous industrial gas leak from factory causing nausea, fainting, and breathing distress in surrounding village Sahebganj.",Environment,CRITICAL
"Stray cattle wandering on state highway Station Road, causing frequent motorcycle skids and collisions.",Public Safety,MEDIUM
Request for zebra crossing painting outside primary school gate in Jamshedpur.,Urban Infrastructure,LOW
Minor paint flaking off classroom exterior walls in school at Simdega.,Education,LOW
Public park green lawn dried up due to lack of municipal gardening staff in Koderma.,Environment,LOW
Dangerous blind hairpin curve on ghat road Ranchi has broken safety crash barriers and zero reflectors.,Transportation,HIGH
Sticker bills and posters defacing newly painted public sanitation facility in Garhwa.,Sanitation,LOW
Sticker bills and posters defacing newly painted public sanitation facility in Dhanbad.,Sanitation,LOW
"Middle school in Saraikela has no functional toilet for girl students, causing massive dropouts.",Education,HIGH
Request for training workshop on organic compost preparation in village Jamshedpur.,Agriculture,LOW
"Road excavated for sewage pipeline 4 months ago left unpaved, mud and dust causing daily skidding in Godda.",Urban Infrastructure,HIGH
"Soil testing laboratory report delayed by 4 months, missed sowing season in block West Singhbhum.",Agriculture,MEDIUM
Chemical chemical plant dumping toxic untreated red effluent directly into Subarnarekha river stream near Sahebganj.,Environment,CRITICAL
"Classroom roof leaking severely during monsoon rain, destroying desks and textbooks in Chaibasa.",Education,HIGH
"Canal outlet siphon silted up, tail-end farmers receiving zero irrigation flow in Sahebganj.",Agriculture,MEDIUM
"Acute dengue and viral encephalitis outbreak claiming lives of children in Sahebganj, immediate medical team required.",Healthcare,CRITICAL
"Footpath paving blocks broken and dislodged, forcing school students to walk in traffic in Bokaro.",Urban Infrastructure,MEDIUM
Certified seeds provided at block development office had less than 20% germination rate in Giridih.,Agriculture,MEDIUM
Unscheduled power cuts lasting 12 to 16 hours daily in Saraikela during peak summer heatwave.,Energy,HIGH
"Drinking water tank in village school contaminated, dozens of children sick with food poisoning in Ranchi.",Education,CRITICAL
Dense poisonous smoke from open garbage burning at municipal dumping ground suffocating Ramgarh.,Environment,HIGH
Mosquito breeding epidemic in Sahebganj due to stagnant black sewage water in uncleaned open drains.,Sanitation,HIGH
"Severe low voltage of 110V damaging all domestic refrigerators, water pumps, and fans in Simdega.",Energy,HIGH
"Stray cattle wandering on state highway Market Square, causing frequent motorcycle skids and collisions.",Public Safety,MEDIUM
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Deoghar.,Agriculture,CRITICAL
Public drinking fountain near park in Palamu has a slow leaky washer.,Water Management,LOW
Drainage silt cleared by cleaners left piled on pedestrian pavement and never carted away in Khunti.,Sanitation,MEDIUM
"Stone crushing factories operating without water sprinklers, entire residential area enveloped in toxic silica dust in Dhanbad.",Environment,HIGH
"School boundary wall collapsed near railway line, exposing small children to high-speed trains in Pakur.",Education,CRITICAL
Agricultural irrigation feeder canal dry for 21 weeks during critical sowing season in Chatra.,Agriculture,HIGH
"Government grain mandi delaying procurement, farmers' harvested grain soaked in rain in open yard at Gumla.",Agriculture,HIGH
Notice board showing daily mandi crop prices missing at grain market Saraikela.,Agriculture,LOW
"Middle school in Chatra has no functional toilet for girl students, causing massive dropouts.",Education,HIGH
Labor room in maternal care clinic Godda has no running water or sterile equipment.,Healthcare,HIGH
Illegal crude firecracker and explosives manufacturing operating in densely packed residential colony in Jamshedpur.,Public Safety,CRITICAL
Armed gang carrying out chain snatching and robberies on dark bypass stretch of College Road after 8 PM.,Public Safety,CRITICAL
"Government grain mandi delaying procurement, farmers' harvested grain soaked in rain in open yard at West Singhbhum.",Agriculture,HIGH
Municipal sanitation sweepers have not visited colony Gumla for past 2 days.,Sanitation,MEDIUM
Drainage silt cleared by cleaners left piled on pedestrian pavement and never carted away in West Singhbhum.,Sanitation,MEDIUM
"Extreme shortage of essential medicines, paracetamol, and ORS packets in primary health clinic Godda.",Healthcare,HIGH
Damaged sluice valve cutting drinking water supply to entire commercial and residential district in Ranchi.,Water Management,HIGH
Lineman demanding bribe to replace blown transformer fuse in village Bokaro.,Energy,HIGH
Residential smart meter installation application pending for 3 months in Garhwa.,Energy,LOW
"Soil testing laboratory report delayed by 4 months, missed sowing season in block West Singhbhum.",Agriculture,MEDIUM
Overgrown wild weeds and Congress grass causing seasonal pollen allergies in colony park Godda.,Environment,LOW
Emergency Police dial 112 / 100 helpline calls ringing unanswered during violent burglary distress in Hazaribagh.,Public Safety,CRITICAL
"Extreme shortage of essential medicines, paracetamol, and ORS packets in primary health clinic Dhanbad.",Healthcare,HIGH
Water meter glass cloudy and hard to read at property in Dhanbad.,Water Management,LOW
School playground in Hazaribagh taken over by unauthorized parked commercial vehicles.,Education,MEDIUM
"Complete groundwater depletion in Hazaribagh, borewells pumping sand, emergency relief tankers urgently needed.",Water Management,CRITICAL
Old transport truck emitting black smoke exhaust while idling at traffic stop in Ramgarh.,Environment,LOW
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Dhanbad.,Agriculture,CRITICAL
"Ceiling plaster fell on elementary students during classes, three children injured in school at Lohardaga.",Education,CRITICAL
"Dead cattle carcass lying rotting on roadside of Circular Road for 3 days, causing unbearable stench.",Sanitation,HIGH
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near Saraikela.,Environment,CRITICAL
Gang of anti-social youth eve-teasing and harassing female students daily outside coaching hub in Khunti.,Public Safety,HIGH
Commercial slaughterhouse dumping animal entrails and blood directly into open municipal drain in Pakur.,Sanitation,HIGH
Bio-medical hazardous waste including infected needles and bandages dumped in open field behind hospital Palamu.,Healthcare,HIGH
Abandoned scrap car left parked on colony street corner for 1 year in Saraikela.,Public Safety,LOW
Old multi-story commercial market balcony collapsed onto busy pedestrian footpath in Gumla.,Urban Infrastructure,CRITICAL
"Hailstorm and gale winds flattened standing crops across village Chatra, farmers facing total bankruptcy.",Agriculture,CRITICAL
"School bell system broken, manual gong being used in school Palamu.",Education,LOW
Emergency Police dial 112 / 100 helpline calls ringing unanswered during violent burglary distress in Saraikela.,Public Safety,CRITICAL
Overloaded passenger boat capsized risk due to cracked hull at river crossing in Ranchi.,Transportation,CRITICAL
Plastic waste and non-biodegradable thermocol clogging forest stream in tourist spot Koderma.,Environment,MEDIUM
Fallen autumn leaves accumulated in street gutters in sector 3 of Dumka.,Sanitation,LOW
Stretcher and wheelchair wheels broken at entrance of government clinic in Palamu.,Healthcare,MEDIUM
Dilapidated four-story abandoned factory on verge of immediate structural collapse near crowded marketplace in Dhanbad.,Public Safety,CRITICAL
"Major highway bridge over river has developed structural cracks, concrete chunks falling into river near Koderma.",Urban Infrastructure,CRITICAL
"Drinking water tank in village school contaminated, dozens of children sick with food poisoning in Jamshedpur.",Education,CRITICAL
Public dustbins in market area Deoghar broken and overflowing with plastic bags.,Sanitation,MEDIUM
Ticket vending machine at bus terminal out of order in Khunti.,Transportation,LOW
Residential smart meter installation application pending for 3 months in Godda.,Energy,LOW
"School bell system broken, manual gong being used in school Chatra.",Education,LOW
Chemical chemical plant dumping toxic untreated red effluent directly into Subarnarekha river stream near Giridih.,Environment,CRITICAL
Government high school in Ramgarh has no math or science teacher for the entire academic year.,Education,HIGH
Abandoned scrap car left parked on colony street corner for 1 year in Giridih.,Public Safety,LOW
Anti-rabies and anti-snake venom emergency injections completely out of stock in district hospital Lohardaga.,Healthcare,CRITICAL
"Soil testing laboratory report delayed by 4 months, missed sowing season in block Gumla.",Agriculture,MEDIUM
Hospital blood bank has zero units of all blood groups during emergency accident influx in Gumla.,Healthcare,CRITICAL
Emergency Police dial 112 / 100 helpline calls ringing unanswered during violent burglary distress in Garhwa.,Public Safety,CRITICAL
Plastic waste and non-biodegradable thermocol clogging forest stream in tourist spot Sahebganj.,Environment,MEDIUM
School playground in Jamtara taken over by unauthorized parked commercial vehicles.,Education,MEDIUM
Request for training workshop on organic compost preparation in village Koderma.,Agriculture,LOW
Primary school and anganwadi center in Chatra has non-functional water taps for 7 days.,Water Management,HIGH
Hospital blood bank has zero units of all blood groups during emergency accident influx in Garhwa.,Healthcare,CRITICAL
Government high school in Dumka has no math or science teacher for the entire academic year.,Education,HIGH
Overloaded passenger boat capsized risk due to cracked hull at river crossing in Koderma.,Transportation,CRITICAL
"Main feeder water line ruptured by telecom JCB digging along Bypass Highway, continuous massive water wastage.",Water Management,HIGH
"Canal outlet siphon silted up, tail-end farmers receiving zero irrigation flow in Godda.",Agriculture,MEDIUM
"No electricity connection in rural school Ramgarh, children sitting in dark classrooms in 43°C summer.",Education,HIGH
"Commercial electricity meter running abnormally fast, inflated bill of Rs 50,000 sent to small shop in Chatra.",Energy,MEDIUM
"Contractual teachers going on indefinite strike, leaving school completely shut for 10 days in Sahebganj.",Education,HIGH
Armed gang carrying out chain snatching and robberies on dark bypass stretch of Hospital Road after 8 PM.,Public Safety,CRITICAL
Drip irrigation government subsidy disbursement delayed for over 8 months in Hazaribagh.,Agriculture,MEDIUM
"Unmanned railway level crossing with broken boom barrier, blind collision hazard on Station Road.",Transportation,CRITICAL
"Open deep stone quarry pit filled with 40 feet of stagnant water without fencing, child drowned yesterday in Ranchi.",Public Safety,CRITICAL
Traffic signals at four-way junction on College Road blinking yellow continuously causing vehicle gridlocks.,Urban Infrastructure,MEDIUM
Agricultural extension officer not available on scheduled field visit day in Chatra.,Agriculture,LOW
Primary school and anganwadi center in Hazaribagh has non-functional water taps for 14 days.,Water Management,HIGH
Water filter unit at municipal dispensary in Simdega requires urgent membrane replacement.,Water Management,MEDIUM
Drip irrigation government subsidy disbursement delayed for over 8 months in Palamu.,Agriculture,MEDIUM
Staff at government health sub-centre in Sahebganj demanding illicit money for issuing vaccination certificates.,Healthcare,MEDIUM
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Pakur.",Transportation,CRITICAL
Bio-medical hazardous waste including infected needles and bandages dumped in open field behind hospital Bokaro.,Healthcare,HIGH
Crater-sized deep pothole on fast lane of Airport Road caused three consecutive car rollover accidents last night.,Urban Infrastructure,CRITICAL
Request for additional story books and encyclopedia in village school library in Hazaribagh.,Education,LOW
Scheduled municipal water tanker delayed by more than 24 hours in ward 16 of Gumla.,Water Management,MEDIUM
"Extreme shortage of essential medicines, paracetamol, and ORS packets in primary health clinic Pakur.",Healthcare,HIGH
"Severe low voltage of 110V damaging all domestic refrigerators, water pumps, and fans in Deoghar.",Energy,HIGH
Dangerous blind hairpin curve on ghat road Simdega has broken safety crash barriers and zero reflectors.,Transportation,HIGH
"Road excavated for sewage pipeline 4 months ago left unpaved, mud and dust causing daily skidding in Deoghar.",Urban Infrastructure,HIGH
Labor room in maternal care clinic Pakur has no running water or sterile equipment.,Healthcare,HIGH
Massive forest fire spreading uncontrolled toward tribal settlements and wildlife habitat in Ramgarh.,Environment,CRITICAL
"All streetlights on main ring road Main Road non-functional for past 7 days, high accident danger.",Urban Infrastructure,HIGH
Display board showing doctor consultation timings missing outside health clinic Chaibasa.,Healthcare,LOW
"Acute dengue and viral encephalitis outbreak claiming lives of children in Khunti, immediate medical team required.",Healthcare,CRITICAL
"Water supply in Giridih restricted to only 15 minutes once in 3 days, causing violent disputes at community taps.",Water Management,HIGH
Plastic waste and non-biodegradable thermocol clogging forest stream in tourist spot West Singhbhum.,Environment,MEDIUM
OPD registration counter has only one operator for over 400 patients daily in Simdega.,Healthcare,MEDIUM
Slight brownish discoloration noticed in morning tap water for past two days in Bokaro.,Water Management,LOW
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Dumka.,Agriculture,CRITICAL
Divider break on fast expressway in Koderma causing tractors and two-wheelers to drive on wrong side.,Urban Infrastructure,HIGH
Overgrown wild weeds and Congress grass causing seasonal pollen allergies in colony park Deoghar.,Environment,LOW
"School bell system broken, manual gong being used in school Chaibasa.",Education,LOW
Herd of wild boars and elephants destroying standing sugarcane crops nightly in farm belt Deoghar.,Agriculture,HIGH
Construction and demolition debris dumped openly on dry riverbed near Hospital Road.,Environment,MEDIUM
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Hazaribagh.,Public Safety,HIGH
Drainage silt cleared by cleaners left piled on pedestrian pavement and never carted away in Gumla.,Sanitation,MEDIUM
Traffic signals at four-way junction on GT Road blinking yellow continuously causing vehicle gridlocks.,Urban Infrastructure,MEDIUM
"School bell system broken, manual gong being used in school Bokaro.",Education,LOW
School playground in Ranchi taken over by unauthorized parked commercial vehicles.,Education,MEDIUM
Request for additional story books and encyclopedia in village school library in Chatra.,Education,LOW
Commercial shopping complex fire exits permanently chained shut and fire extinguisher cylinders expired in Pakur.,Public Safety,HIGH
"Ceiling plaster fell on elementary students during classes, three children injured in school at Gumla.",Education,CRITICAL
"Unmanned railway level crossing with broken boom barrier, blind collision hazard on Circular Road.",Transportation,CRITICAL
Ticket vending machine at bus terminal out of order in West Singhbhum.,Transportation,LOW
"Doctor at dispensary arriving 3 hours late regularly, causing senior citizens to wait in sun in Bokaro.",Healthcare,MEDIUM
Bus timetable display screen broken at central bus stand in Gumla.,Transportation,LOW
"Sinkhole formed suddenly in the middle of intersection near Gumla, engulfing front of a delivery truck.",Urban Infrastructure,CRITICAL
Rainwater pooling at street corner due to faulty road gradient on Market Square in Saraikela.,Urban Infrastructure,MEDIUM
"Canal outlet siphon silted up, tail-end farmers receiving zero irrigation flow in Sahebganj.",Agriculture,MEDIUM
"Hailstorm and gale winds flattened standing crops across village Chaibasa, farmers facing total bankruptcy.",Agriculture,CRITICAL
Extreme overcrowding in city buses with passengers hanging precariously from footboards and window grills in Saraikela.,Transportation,HIGH
Door-to-door garbage collection vehicle skipping collection in sector 17 of Dhanbad.,Sanitation,MEDIUM
Chalkboard in class 5 at primary school Bokaro has cracks and needs repainting.,Education,LOW
Overloaded passenger boat capsized risk due to cracked hull at river crossing in West Singhbhum.,Transportation,CRITICAL
Cholera and severe gastroenteritis outbreak reported due to sewage mixing in drinking water pipelines in Ramgarh.,Water Management,CRITICAL
"Community public RO purification plant in Chaibasa broken down for 5 weeks, no technician attending.",Water Management,HIGH
